"inv","it","alpha.mn","gamma","beta.t","beta.s","distr"
1,1,1,1,5.35911979364214e-13,0.055721965790259,"discr"
2,2,2,2,2.20351981992565e-12,0.0567654047291996,"discr"
3,3,3,3,3.30385843749634e-11,0.0586714104768399,"discr"
4,4,4,4,5.29044902823474e-11,0.0778490418039387,"discr"
5,5,5,5,1.10744558952785e-12,0.0738451501207414,"discr"
6,6,6,6,3.88028424219562e-11,0.0784195422863644,"discr"
7,7,7,7,2.70779390658962e-11,0.0863093674081463,"discr"
8,8,8,8,7.54303036424255e-11,0.0961592907699548,"discr"
9,9,9,9,9.26515652653945e-11,0.0959784342170252,"discr"
10,10,10,10,6.17184731378586e-11,0.103238034753156,"discr"
12,11,11.9375,12,1.43609444755663e-10,0.104080662331169,"discr"
14,12,13.8125,14,1.28537784842898e-08,0.122551233689117,"discr"
16,13,15,16,3.57233665472637e-06,0.130521908462734,"discr"
18,14,16.21875,18,0.000293411412294324,0.154027539249988,"discr"
20,15,18.5,20,2.27208021559878e-07,0.178403409480155,"discr"
23,16,20.09375,23,5.89080497037937e-06,0.181476188743689,"discr"
26,17,21.84375,25,6.88521793364381e-06,0.210907155904236,"discr"
29,18,24.25,28,1.10093955543539e-06,0.197880087962359,"discr"
32,19,26.6875,31,1.2573981290235e-06,0.21875133210338,"discr"
36,20,27.09375,35,9.26146481487296e-05,0.237273813764697,"discr"
40,21,26.9375,38,6.19904531233074e-05,0.233856681292881,"discr"
44,22,28.25,41,0.000152090329447289,0.235632887571832,"discr"
49,23,31.53125,42,3.74282770705475e-05,0.209015884527717,"discr"
54,24,33.5625,46,3.79725875619454e-05,0.245007300144128,"discr"
59,25,36.4375,51,1.2627745650741e-05,0.268167264585634,"discr"
65,26,39.65625,56,0.000118932270913207,0.294765956691619,"discr"
71,27,41.21875,60,0.00162842524798252,0.342644646204528,"discr"
78,28,43.46875,67,6.90537882675583e-05,0.373350753035695,"discr"
85,29,45.1875,72,0.000351425070920713,0.369714930509295,"discr"
93,30,46.78125,76,0.000266280412159114,0.393636394567387,"discr"
101,31,46.40625,83,0.000809662423012183,0.409702972822602,"discr"
110,32,47.875,87,0.000675471036127699,0.359925126048613,"discr"
119,33,51.84375,96,0.00135570865901157,0.44911038913607,"discr"
129,34,54.46875,104,0.00234859955214312,0.502901640169886,"discr"
140,35,56.5625,115,0.0120811703641726,0.510078400941107,"discr"
152,36,58.78125,125,0.0292128545962047,0.538920508646858,"discr"
165,37,58.40625,136,0.00999824941134778,0.520782545919721,"discr"
179,38,61.09375,148,0.0361806821508571,0.534259088433167,"discr"
194,39,63.1875,158,0.0338821469223498,0.584633516994749,"discr"
210,40,66.15625,168,0.0323426464241224,0.555169808506561,"discr"
227,41,64.65625,177,0.0474037088646713,0.574045845714185,"discr"
245,42,67.96875,192,0.0979637284684562,0.608965206988055,"discr"
265,43,68.25,205,0.102989585333224,0.603619682446067,"discr"
286,44,68.4375,218,0.144952381114145,0.643893947415665,"discr"
308,45,70.9375,229,0.122379774856903,0.634293118137575,"discr"
331,46,72.40625,244,0.106123882085723,0.637319659616616,"discr"
356,47,70.1875,253,0.131700500125647,0.648495403724787,"discr"
382,48,71.34375,254,0.16339488714268,0.589249669150863,"discr"
408,49,70.03125,270,0.235892105635536,0.668342080214164,"discr"
436,50,71.5625,282,0.24911513638731,0.67339560200182,"discr"
465,51,70.78125,305,0.274422864737802,0.678002709313257,"discr"
496,52,72.375,322,0.334055387869722,0.732227815481642,"discr"
529,53,71.96875,348,0.363898278106402,0.755383489493872,"discr"
564,54,71.09375,365,0.324491770873383,0.760409496782988,"discr"
601,55,68.4375,391,0.373026388201308,0.761910888616948,"discr"
641,56,70.9375,408,0.465857227462031,0.766398498676467,"discr"
682,57,71.8125,419,0.412568459790809,0.767918804982822,"discr"
724,58,71.75,438,0.408341803268954,0.76537685915418,"discr"
768,59,74.75,456,0.407112085800939,0.773203236445211,"discr"
814,60,72.25,458,0.41546644010933,0.763073902719543,"discr"
860,61,72.125,479,0.451925764047861,0.789662287994818,"discr"
908,62,73.0625,495,0.501781826826823,0.777530590058841,"discr"
958,63,71.65625,518,0.511054192853134,0.792513205694407,"discr"
1010,64,73.375,533,0.471908400293052,0.801724881284277,"discr"
1064,65,69.375,537,0.517170544555519,0.796280186885432,"discr"
1118,66,72.28125,519,0.523895783643758,0.793413182939214,"discr"
1170,67,72.65625,524,0.475239311194768,0.800346510774035,"discr"
1223,68,73.40625,534,0.522119581034255,0.80796589715194,"discr"
1277,69,73.21875,535,0.514424571651218,0.795272582443029,"discr"
1331,70,73.59375,547,0.540708537234664,0.799129320679404,"discr"
1386,71,73.96875,558,0.54350499919226,0.805077896301438,"discr"
1442,72,73.59375,565,0.535018671587989,0.804276382505264,"discr"
1499,73,72.875,569,0.570013920981895,0.810526567409441,"discr"
1556,74,72.75,563,0.549838707149474,0.794591918997729,"discr"
1613,75,73.75,560,0.540605952384507,0.808897460405686,"discr"
1670,76,72.9375,572,0.556261100118105,0.805379793891754,"discr"
1728,77,69.90625,583,0.545714614298259,0.811349679776095,"discr"
1787,78,72.5,601,0.557106202086593,0.824985545426221,"discr"
1848,79,75.4375,619,0.539480784229364,0.822304205403556,"discr"
1910,80,71.84375,633,0.578902127260692,0.829270587175092,"discr"
1974,81,71.75,655,0.588333175067498,0.835415562030161,"discr"
2040,82,73.3125,672,0.615445591514432,0.834839122722052,"discr"
2108,83,74.375,681,0.602015019520719,0.83628926471235,"discr"
2177,84,75.25,688,0.553070232790523,0.831373097192714,"discr"
2246,85,72.3125,694,0.631805602085198,0.841682816228937,"discr"
2316,86,74.5,696,0.596930037037221,0.824497127107206,"discr"
2386,87,71.3125,691,0.58900707666837,0.841810325729111,"discr"
2456,88,73.65625,690,0.612458606356401,0.846759402921499,"discr"
2526,89,72.15625,694,0.634570893609852,0.841334636973202,"discr"
2596,90,71.3125,692,0.613184124866345,0.839891189147721,"discr"
2666,91,72.84375,708,0.62381414604769,0.843998078397843,"discr"
2737,92,73.4375,708,0.64531977620451,0.842641832710602,"discr"
2808,93,72.90625,709,0.624012294803144,0.844395220465478,"discr"
2879,94,73.1875,703,0.645692296733259,0.844238214590842,"discr"
2950,95,72.25,709,0.614428219433695,0.846452839019135,"discr"
3021,96,72.59375,697,0.640931257841365,0.83698223838967,"discr"
3091,97,73.15625,703,0.609746568814198,0.848359077474014,"discr"
3162,98,71.78125,693,0.610851981952059,0.832674958261179,"discr"
3232,99,70.59375,689,0.614338850027446,0.831722412767148,"discr"
3301,100,75.6875,697,0.608585385872183,0.840004461244014,"discr"
3371,101,72.3125,694,0.623583159676519,0.832388242170055,"discr"
3441,102,71.3125,713,0.623110338843542,0.84872837522667,"discr"
3513,103,72.03125,720,0.623679320466361,0.847252183082981,"discr"
3586,104,73.3125,715,0.623737465616287,0.847134832392297,"discr"
3658,105,72.375,724,0.60173325658969,0.84218239113824,"discr"
3731,106,71.40625,730,0.611223794802662,0.843966311479941,"discr"
3805,107,72.3125,724,0.610217133430638,0.842067024626151,"discr"
3878,108,73.15625,735,0.619868116470551,0.844294852276045,"discr"
3952,109,74.53125,732,0.60503265505146,0.845796963156243,"discr"
4026,110,73.5,746,0.599342565739941,0.846703060654541,"discr"
4101,111,73.96875,735,0.601086935609737,0.846245715540947,"discr"
4175,112,73.28125,722,0.575725605102845,0.838067283002853,"discr"
4248,113,72.5625,719,0.633501704292053,0.832188921743229,"discr"
4320,114,72.15625,722,0.616597182167112,0.849460247711517,"discr"
4393,115,75.5625,706,0.6153627884193,0.846683169673873,"discr"
4464,116,74.34375,713,0.595121596552596,0.842563980688398,"discr"
4536,117,73.84375,714,0.612596545517666,0.845322790669708,"discr"
